Nom_station,Capacite_station
Lavandieres Sainte Opportune - Rivoli,27
Bastille - Quai de la Rapée,27
Lagny - Auguste Blanqui,27
Les Blagis,27
Mairie du 20ème,27
Lebrun - Colonel Fabien,27
Pergolèse - Marbeau,27
Jouffroy d'Abbans - Malesherbes,27
Porte de Saint-Ouen - Henri Huchard,26
Place Du Général De Gaulle,26
Place Léon Gambetta,26
Mahatma Gandhi,26
Portugais - Kléber,26
Place de la Madeleine - Royale,26
Ecole Militaire - Place Joffre,26
Centre Georges Pompidou,26
Stalingrad - Henri Luisette,26
Pyrénées - Ménilmontant,26
Verdun - Adrien Damalix,26
Charles de Gaulle - Orléans,26
Pont Neuf - Rivoli,26
Arthur Auger - Jean Jaurès,26
Georges Pompidou - Verdun,26
Michel-Ange - Parent de Rosan,26
Château - République,26
Stade Pershing,26
Bateliers - Quai de Seine,26
Manin - Simon Bolivar,26
Franciade - Gabriel Péri,26
Gare de Clichy-Levallois,26
Charenton - Prague,26
Vaugirard - Monsieur le Prince,26
Réunion - Avron,26
Courcelles - Pierre Demours,26
Flandre - Alphonse Karr,26
Place Charles Vallin,26
